topic,year,grant_count
AI-enabled catalysis,2022,63
AI-enabled catalysis,2023,80
AI-enabled catalysis,2024,72
AI-enabled catalysis,2025,88
AI-enabled chemistry,2022,153
AI-enabled chemistry,2023,158
AI-enabled chemistry,2024,181
AI-enabled chemistry,2025,207
AI-enabled materials,2022,152
AI-enabled materials,2023,209
AI-enabled materials,2024,202
AI-enabled materials,2025,227
Autonomous laboratories,2022,2
Autonomous laboratories,2023,1
Autonomous laboratories,2024,4
Autonomous laboratories,2025,6
Cheminformatics,2022,4
Cheminformatics,2023,6
Cheminformatics,2024,2
Cheminformatics,2025,7
Materials informatics,2022,19
Materials informatics,2023,41
Materials informatics,2024,13
Materials informatics,2025,13
Molecular machine learning,2022,0
Molecular machine learning,2023,4
Molecular machine learning,2024,1
Molecular machine learning,2025,4
Reaction prediction,2022,5
Reaction prediction,2023,3
Reaction prediction,2024,1
Reaction prediction,2025,3
