source,organisation_name_clean,grant_count,topic_count,first_award_year,latest_award_year,median_award_amount
CORDIS,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,12,3,2022,2025,2609643.0
CORDIS,KATHOLIEKE UNIVERSITEIT LEUVEN,7,3,2022,2025,3283437.0
CORDIS,VRIJE UNIVERSITEIT BRUSSEL,6,4,2023,2025,3773403.0
CORDIS,AALBORG UNIVERSITET,5,3,2022,2025,1996935.0
CORDIS,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,5,3,2022,2024,2477356.0
CORDIS,FUNDACION IMDEA MATERIALES,5,3,2023,2025,181153.0
CORDIS,AARHUS UNIVERSITET,4,2,2022,2024,223778.0
CORDIS,DANMARKS TEKNISKE UNIVERSITET,4,3,2022,2024,1113164.0
CORDIS,FRAUNHOFER GESELLSCHAFT ZUR FORDERUNG DER ANGEWANDTEN FORSCHUNG EV,4,3,2023,2025,3799286.0
CORDIS,KOBENHAVNS UNIVERSITET,4,2,2023,2024,2277063.0
NSF,Regents of the University of Michigan - Ann Arbor,38,7,2021,2025,535980.0
NSF,University of Illinois at Urbana-Champaign,37,6,2021,2025,600000.0
NSF,Purdue University,36,5,2021,2025,500000.0
NSF,Georgia Tech Research Corporation,34,5,2021,2025,476868.0
NSF,University of Wisconsin-Madison,33,4,2021,2025,500000.0
NSF,North Carolina State University,31,5,2021,2025,467607.0
NSF,Arizona State University,28,4,2021,2025,356678.0
NSF,Pennsylvania State Univ University Park,27,4,2021,2025,500000.0
NSF,Massachusetts Institute of Technology,25,5,2021,2025,650000.0
NSF,University of Texas at Austin,25,3,2021,2025,405278.0
