source,currency,programme_name_clean,grant_count,median_award_amount,total_award_amount,source_named_topic_grants,source_share_pct
CORDIS,EUR,MSCA Postdoctoral Fellowships 2023,27,203464.0,5614634.0,341,7.9
CORDIS,EUR,ERC STARTING GRANTS,26,1499464.0,39118356.0,341,7.6
CORDIS,EUR,ERC ADVANCED GRANTS,21,2499250.0,55725187.0,341,6.2
CORDIS,EUR,MSCA Postdoctoral Fellowships 2024,20,213077.0,4672281.0,341,5.9
CORDIS,EUR,ERC CONSOLIDATOR GRANTS,19,1999073.0,39508314.0,341,5.6
CORDIS,EUR,MSCA Postdoctoral Fellowships 2022,15,196829.0,3056518.0,341,4.4
CORDIS,EUR,ERC PROOF OF CONCEPT GRANTS,14,150000.0,2100000.0,341,4.1
CORDIS,EUR,MSCA Postdoctoral Fellowships 2021,13,184077.0,2592333.0,341,3.8
CORDIS,EUR,EIC Pathfinder Open,8,2977796.0,22215748.0,341,2.3
CORDIS,EUR,MSCA Doctoral Networks 2022,7,2643703.0,19167824.0,341,2.1
NSF,USD,DMREF,77,485000.0,56179545.0,1898,4.1
NSF,USD,"Chem Thry, Mdls & Cmptnl Mthds",47,510000.0,23117898.0,1898,2.5
NSF,USD,CONDENSED MATTER & MAT THEORY,41,395375.0,17731560.0,1898,2.2
NSF,USD,AM-Advanced Manufacturing,38,293000.0,11976299.0,1898,2.0
NSF,USD,Mechanics of Materials and Str,27,348061.0,10122949.0,1898,1.4
NSF,USD,Chemical Catalysis,25,487125.0,11939471.0,1898,1.3
NSF,USD,SBIR Phase I,25,274770.0,6752501.0,1898,1.3
NSF,USD,COMPUTATIONAL MATHEMATICS,23,275000.0,6021567.0,1898,1.2
NSF,USD,I-Corps,23,50000.0,1150000.0,1898,1.2
NSF,USD,Info Integration & Informatics,23,400000.0,8811705.0,1898,1.2
