primary_topic,source,currency,programme_name_clean,grant_count,median_award_amount,first_award_year,latest_award_year
AI-enabled catalysis,CORDIS,EUR,MSCA Postdoctoral Fellowships 2022,6,174035.0,2023,2024
AI-enabled catalysis,CORDIS,EUR,ERC ADVANCED GRANTS,5,2500000.0,2023,2025
AI-enabled catalysis,CORDIS,EUR,ERC STARTING GRANTS,5,1499643.0,2024,2025
AI-enabled catalysis,CORDIS,EUR,MSCA Postdoctoral Fellowships 2021,5,183530.0,2022,2022
AI-enabled catalysis,CORDIS,EUR,ERC CONSOLIDATOR GRANTS,4,1998050.0,2022,2025
AI-enabled catalysis,CORDIS,EUR,ERA Fellowships,3,153487.0,2024,2025
AI-enabled catalysis,CORDIS,EUR,MSCA Postdoctoral Fellowships 2023,3,181153.0,2024,2025
AI-enabled catalysis,CORDIS,EUR,MSCA Postdoctoral Fellowships 2024,3,322164.0,2025,2025
AI-enabled catalysis,CORDIS,EUR,ERC PROOF OF CONCEPT GRANTS2,2,150000.0,2023,2023
AI-enabled catalysis,CORDIS,EUR,MSCA Doctoral Networks 2023,2,3306802.0,2025,2025
AI-enabled catalysis,NSF,USD,Chemical Catalysis,23,431454.0,2021,2025
AI-enabled catalysis,NSF,USD,Catalysis,15,342853.0,2022,2025
AI-enabled catalysis,NSF,USD,"Chem Thry, Mdls & Cmptnl Mthds",15,510000.0,2021,2025
AI-enabled catalysis,NSF,USD,DMREF,8,432455.0,2021,2025
AI-enabled catalysis,NSF,USD,Software Institutes,7,824984.0,2022,2025
AI-enabled catalysis,NSF,USD,Cellular & Biochem Engineering,5,391499.0,2021,2024
AI-enabled catalysis,NSF,USD,Hist Black Colleges and Univ,5,150000.0,2021,2024
AI-enabled catalysis,NSF,USD,Major Research Instrumentation,5,1281509.0,2021,2024
AI-enabled catalysis,NSF,USD,CSD-Chem Strcture and Dynamics,4,330000.0,2021,2025
AI-enabled catalysis,NSF,USD,"Catalysis, DMREF",4,672388.0,2021,2025
AI-enabled chemistry,CORDIS,EUR,MSCA Postdoctoral Fellowships 2023,15,214934.0,2024,2025
AI-enabled chemistry,CORDIS,EUR,ERC ADVANCED GRANTS,12,2498937.0,2022,2025
AI-enabled chemistry,CORDIS,EUR,ERC STARTING GRANTS,11,1499125.0,2022,2025
AI-enabled chemistry,CORDIS,EUR,ERC CONSOLIDATOR GRANTS,7,1996375.0,2022,2025
AI-enabled chemistry,CORDIS,EUR,ERC PROOF OF CONCEPT GRANTS,7,150000.0,2025,2025
AI-enabled chemistry,CORDIS,EUR,MSCA Postdoctoral Fellowships 2022,6,220697.0,2023,2023
AI-enabled chemistry,CORDIS,EUR,MSCA Postdoctoral Fellowships 2024,6,201263.0,2025,2025
AI-enabled chemistry,CORDIS,EUR,EIC Accelerator Open 2023,4,2497688.0,2023,2024
AI-enabled chemistry,CORDIS,EUR,MSCA Postdoctoral Fellowships 2021,4,186882.0,2022,2023
AI-enabled chemistry,CORDIS,EUR,EIC Pathfinder Open,3,2990208.0,2023,2024
AI-enabled chemistry,NSF,USD,"Chem Thry, Mdls & Cmptnl Mthds",19,510000.0,2021,2025
AI-enabled chemistry,NSF,USD,I-Corps,17,50000.0,2021,2025
AI-enabled chemistry,NSF,USD,COMPUTATIONAL MATHEMATICS,16,262500.0,2021,2025
AI-enabled chemistry,NSF,USD,"Proc Sys, Reac Eng & Mol Therm",16,364438.0,2022,2025
AI-enabled chemistry,NSF,USD,SBIR Phase I,13,274797.0,2021,2025
AI-enabled chemistry,NSF,USD,CyberTraining - Training-based,12,150000.0,2021,2025
AI-enabled chemistry,NSF,USD,PPoSS-PP of Scalable Systems,12,62500.0,2022,2023
AI-enabled chemistry,NSF,USD,Convergence Accelerator Resrch,10,650000.0,2022,2024
AI-enabled chemistry,NSF,USD,IUSE,9,290844.0,2023,2025
AI-enabled chemistry,NSF,USD,Info Integration & Informatics,9,500000.0,2023,2025
AI-enabled materials,CORDIS,EUR,MSCA Postdoctoral Fellowships 2024,10,213077.0,2025,2025
AI-enabled materials,CORDIS,EUR,ERC STARTING GRANTS,9,1499978.0,2023,2025
AI-enabled materials,CORDIS,EUR,MSCA Postdoctoral Fellowships 2023,9,187624.0,2024,2025
AI-enabled materials,CORDIS,EUR,ERC CONSOLIDATOR GRANTS,6,1999875.0,2022,2025
AI-enabled materials,CORDIS,EUR,Advanced materials modelling and characterisation (RIA),5,5168000.0,2022,2023
AI-enabled materials,CORDIS,EUR,EIC Pathfinder Open,3,2664940.0,2024,2024
AI-enabled materials,CORDIS,EUR,ERC ADVANCED GRANTS,3,2491836.0,2022,2025
AI-enabled materials,CORDIS,EUR,MSCA Doctoral Networks 2021,3,2528158.0,2023,2023
AI-enabled materials,CORDIS,EUR,MSCA Doctoral Networks 2022,3,2643703.0,2023,2024
AI-enabled materials,CORDIS,EUR,MSCA Postdoctoral Fellowships 2021,3,211755.0,2022,2023
AI-enabled materials,NSF,USD,AM-Advanced Manufacturing,35,300000.0,2021,2025
AI-enabled materials,NSF,USD,CONDENSED MATTER & MAT THEORY,31,395000.0,2021,2025
AI-enabled materials,NSF,USD,DMREF,26,599958.0,2021,2025
AI-enabled materials,NSF,USD,Mechanics of Materials and Str,25,405320.0,2021,2025
AI-enabled materials,NSF,USD,CERAMICS,17,549718.0,2021,2025
AI-enabled materials,NSF,USD,IUCRC-Indust-Univ Coop Res Ctr,15,350000.0,2021,2025
AI-enabled materials,NSF,USD,ELECTRONIC/PHOTONIC MATERIALS,14,519159.0,2021,2025
AI-enabled materials,NSF,USD,METAL & METALLIC NANOSTRUCTURE,12,354954.0,2021,2024
AI-enabled materials,NSF,USD,BIOMATERIALS PROGRAM,11,437749.0,2021,2025
AI-enabled materials,NSF,USD,Major Research Instrumentation,11,762500.0,2021,2024
Autonomous laboratories,CORDIS,EUR,MSCA Doctoral Networks 2023,1,3603168.0,2024,2024
Autonomous laboratories,NSF,USD,"ACED-Accl Comp Enabled Sci Dis, Cross-BIO Activities",1,333332.0,2025,2025
Autonomous laboratories,NSF,USD,AI Research Institutes,1,15000000.0,2025,2025
Autonomous laboratories,NSF,USD,"Cross-BIO Activities, ACED-Accl Comp Enabled Sci Dis",1,166668.0,2025,2025
Autonomous laboratories,NSF,USD,"Cross-BIO Activities, Systems and Synthetic Biology",1,1370964.0,2024,2024
Autonomous laboratories,NSF,USD,"DMREF, ELECTRONIC/PHOTONIC MATERIALS, OFFICE OF MULTIDISCIPLINARY AC",1,480000.0,2025,2025
Autonomous laboratories,NSF,USD,"DMREF, OFFICE OF MULTIDISCIPLINARY AC, ELECTRONIC/PHOTONIC MATERIALS",1,920000.0,2025,2025
Autonomous laboratories,NSF,USD,"EPMQD: Electronic, Photonic, M",1,425000.0,2024,2024
Autonomous laboratories,NSF,USD,"Major Research Instrumentation, Innovation: Instrumentation",1,999810.0,2021,2021
Autonomous laboratories,NSF,USD,"Molecular Biophysics, CHEMISTRY PROJECTS, PHYSICS OF LIVING SYSTEMS",1,1074218.0,2022,2022
Autonomous laboratories,NSF,USD,"OFFICE OF MULTIDISCIPLINARY AC, ELECTRONIC/PHOTONIC MATERIALS, DMREF",1,600000.0,2025,2025
Cheminformatics,CORDIS,EUR,EIC Pathfinder Open,2,2496988.0,2024,2025
Cheminformatics,CORDIS,EUR,Building a European innovation platform for the repurposing of medicinal products,1,22982612.0,2022,2022
Cheminformatics,CORDIS,EUR,EIC Pathfinder Open 2021,1,2047125.0,2022,2022
Cheminformatics,CORDIS,EUR,EIC Pathfinder Open 2022,1,2988378.0,2023,2023
Cheminformatics,CORDIS,EUR,ERC CONSOLIDATOR GRANTS,1,1999763.0,2024,2024
Cheminformatics,CORDIS,EUR,ERC STARTING GRANTS,1,1492821.0,2022,2022
Cheminformatics,CORDIS,EUR,MSCA Postdoctoral Fellowships 2024,1,200400.0,2025,2025
