grant_key,source,award_year,topic,amount_native,currency,relevance_tier,is_core_match,is_broad_match
CORDIS_101044355,CORDIS,2022,AI-enabled catalysis,2000000.0,EUR,core_match,True,False
CORDIS_101045008,CORDIS,2022,AI-enabled catalysis,1997993.0,EUR,core_match,True,False
CORDIS_101046836,CORDIS,2022,AI-enabled catalysis,2871775.0,EUR,core_match,True,False
CORDIS_101057430,CORDIS,2022,AI-enabled catalysis,6205434.5,EUR,core_match,True,False
CORDIS_101058593,CORDIS,2022,AI-enabled catalysis,4997125.0,EUR,core_match,True,False
CORDIS_101058643,CORDIS,2022,AI-enabled catalysis,5707393.0,EUR,core_match,True,False
CORDIS_101058756,CORDIS,2022,AI-enabled catalysis,8358044.0,EUR,core_match,True,False
CORDIS_101062692,CORDIS,2022,AI-enabled catalysis,290444.16,EUR,core_match,True,False
CORDIS_101063836,CORDIS,2022,AI-enabled catalysis,214934.4,EUR,core_match,True,False
CORDIS_101064374,CORDIS,2022,AI-enabled catalysis,183530.4,EUR,core_match,True,False
CORDIS_101064660,CORDIS,2022,AI-enabled catalysis,173847.36,EUR,core_match,True,False
CORDIS_101064867,CORDIS,2022,AI-enabled catalysis,175608.96,EUR,core_match,True,False
CORDIS_101069690,CORDIS,2022,AI-enabled catalysis,3125714.75,EUR,core_match,True,False
CORDIS_101071876,CORDIS,2022,AI-enabled catalysis,75000.0,EUR,core_match,True,False
CORDIS_101084066,CORDIS,2022,AI-enabled catalysis,3306160.0,EUR,core_match,True,False
CORDIS_101082010,CORDIS,2023,AI-enabled catalysis,5999686.25,EUR,core_match,True,False
CORDIS_101088032,CORDIS,2023,AI-enabled catalysis,1996250.0,EUR,core_match,True,False
CORDIS_101092639,CORDIS,2023,AI-enabled catalysis,12889656.25,EUR,core_match,True,False
CORDIS_101092989,CORDIS,2023,AI-enabled catalysis,11115540.25,EUR,core_match,True,False
CORDIS_101095721,CORDIS,2023,AI-enabled catalysis,2500000.0,EUR,core_match,True,False
CORDIS_101098156,CORDIS,2023,AI-enabled catalysis,2499250.0,EUR,core_match,True,False
CORDIS_101104264,CORDIS,2023,AI-enabled catalysis,226441.2,EUR,core_match,True,False
CORDIS_101105312,CORDIS,2023,AI-enabled catalysis,172750.08,EUR,core_match,True,False
