source,currency,topic,award_year,grant_count,core_match_count,broad_match_count,total_amount_native,median_amount_native,mean_amount_native
CORDIS,EUR,AI-enabled catalysis,2021,0,0,0,0.0,,
CORDIS,EUR,AI-enabled catalysis,2022,15,15,0,39683004.53,2000000.0,2645533.6353333336
CORDIS,EUR,AI-enabled catalysis,2023,16,16,0,56207132.83,2247750.0,3512945.801875
CORDIS,EUR,AI-enabled catalysis,2024,20,20,0,83443512.76,2499762.5,4172175.6380000003
CORDIS,EUR,AI-enabled catalysis,2025,21,19,2,52583287.39,1998106.0,2503966.066190476
NSF,USD,AI-enabled catalysis,2021,40,38,2,81498247.0,498174.0,2037456.175
NSF,USD,AI-enabled catalysis,2022,53,50,3,40489403.0,464139.0,763951.0
NSF,USD,AI-enabled catalysis,2023,66,55,11,256721717.0,526517.0,3889722.984848485
NSF,USD,AI-enabled catalysis,2024,53,53,0,139491363.0,575000.0,2631912.5094339624
NSF,USD,AI-enabled catalysis,2025,68,64,4,81151350.0,500322.5,1193402.205882353
CORDIS,EUR,AI-enabled chemistry,2021,0,0,0,0.0,,
CORDIS,EUR,AI-enabled chemistry,2022,38,36,2,120218134.78,2438370.94,3163635.1257894738
CORDIS,EUR,AI-enabled chemistry,2023,60,51,9,143344008.12,2031385.6,2389066.802
CORDIS,EUR,AI-enabled chemistry,2024,62,59,3,204219836.49,2627393.6,3293868.330483871
CORDIS,EUR,AI-enabled chemistry,2025,68,63,5,197999448.32999998,1491302.0,2911756.5930882352
NSF,USD,AI-enabled chemistry,2021,201,179,22,334716409.0,480000.0,1665255.7661691543
NSF,USD,AI-enabled chemistry,2022,243,226,17,208721218.0,450000.0,858935.0534979424
NSF,USD,AI-enabled chemistry,2023,272,239,33,656974490.0,490893.0,2415347.3897058824
NSF,USD,AI-enabled chemistry,2024,257,225,32,308397316.0,456613.0,1199989.5564202336
NSF,USD,AI-enabled chemistry,2025,326,282,44,319792131.0,461060.0,980957.4570552147
CORDIS,EUR,AI-enabled materials,2021,0,0,0,0.0,,
CORDIS,EUR,AI-enabled materials,2022,18,15,3,74054209.96000001,4495468.0,4114122.775555556
CORDIS,EUR,AI-enabled materials,2023,36,27,9,141536978.57,3450437.625,3931582.738055555
CORDIS,EUR,AI-enabled materials,2024,46,41,5,154022724.85,2526980.0,3348320.1054347823
CORDIS,EUR,AI-enabled materials,2025,36,31,5,111739206.39,2202093.5,3103866.8441666667
NSF,USD,AI-enabled materials,2021,173,147,26,290124857.0,516654.0,1677022.2947976878
NSF,USD,AI-enabled materials,2022,176,157,19,136799786.0,446522.5,777271.5113636364
NSF,USD,AI-enabled materials,2023,246,207,39,352200636.0,499419.5,1431709.9024390243
NSF,USD,AI-enabled materials,2024,200,180,20,261105429.0,423057.0,1305527.145
NSF,USD,AI-enabled materials,2025,240,209,31,287194404.0,500000.0,1196643.35
CORDIS,EUR,Autonomous laboratories,2021,0,0,0,0.0,,
