source,grant_key,source_id,title,abstract,start_date,end_date,award_year,amount_native,project_total_cost,amount_obligated,currency,organisation_name,organisation_city,organisation_country,programme_name,funding_mechanism,status,activity_type,source_activity_type,source_url,relevance_tier,primary_topic,matched_topics,topic_match_count
CORDIS,CORDIS_101039636,101039636,"Piezoelectric Biomolecules for lead-free, Reliable, Eco-Friendly Electronics","Billions of piezoelectric sensors are produced every year, improving the efficiency of many current and emerging technologies. By interconverting electrical and mechanical energy they enable medical device, infrastructure, automotive and aerospace industries, but with a huge environmental cost. The majority of piezoelectric sensors contain Lead Zirconium Titanate (PZT), the fabrication of which requires toxic lead oxide. Prominent lead-free alternatives are heavily processed, and rely on expensive, non-renewable materials such as Niobium. Biological materials such as amino acids and peptides have emerged as exciting new piezoelectrics. Biomolecular-crystal assemblies can be grown at room temperature with no by-products, and do not require an external electric field to induce piezoelectricity, unlike PZT and other piezoceramics. Currently no research is focused on developing these crystals as reliable, solid-state sensors to integrate into conventional electronic devices, due to their high water solubility, uncontrolled growth, variable piezoelectric response, and difficulty in making electrical contact.Pb-FREE will take on the ground-breaking challenge of developing biomolecular crystals as organic, low-cost, high-performance sensors, to out-perform and phase-out inorganic device components with dramatically reduced environmental impact. The project will rapidly accelerate the design, growth, and engineering of these novel piezoelectric materials under three pillars:- An ambitious computational workflow will enable the design of super-piezoelectric crystalline assemblies by combining high-throughput quantum mechanical calculations with machine learning algorithms.- A new method of growing polycrystalline biomolecules will be developed, allowing for easy, efficient creation of macroscopic piezoelectric structures.- A state-of-the-art electromechanical testing suite will be established to characterise fully insulated and contacted biomolecular device components.",2022-06-01,2027-05-31,2022,1499525.0,1499525.0,,EUR,UNIVERSITY OF LIMERICK,Limerick,IE,ERC STARTING GRANTS,HORIZON-ERC,SIGNED,,,https://cordis.europa.eu/project/id/101039636,core_match,Other AI-enabled chemistry/materials,,0
CORDIS,CORDIS_101040353,101040353,Exploring the Molecular Properties of Atmospheric Freshly Nucleated Particles,"Aerosol particles are ubiquitous constituents in the ambient atmosphere. Ultrafine particles (< 10 nm) show adverse effects on our public health, as inhalation leads to an elevated risk of lung- and cardiovascular diseases. Aerosol particles also influence the global climate, by scattering sunlight away from Earth's surface and acting as seeds for cloud droplet formation. Combined, these effects lead to an overall cooling of the Earth, directly counteracting the warming effect of greenhouse gases. According to the IPCC, aerosol particles pose the largest uncertainty in global climate forecast. This uncertainty is caused by the lack of understanding of the early growth behaviour of small (< 3 nm) particles. The largest source of aerosol particles (50-90%) is from nucleation of vapours in the air leading to a burst of freshly nucleated particles (FNPs) of 1-2 nm in size. However, even the basic fundamental properties of these FNPs remain unknown and cannot be studied using currently available experimental techniques. I propose a unique approach to target the properties of FNPs by applying a versatile suite of computational methods, ranging from quantum chemical calculations to application of conceptually new machine learning models. The scientific objectives are: 1) To determine the chemical composition and stability of FNPs. 2) To understand how FNPs evolve over time via exchange of vapours with the environment. 3) To investigate how FNPs transform as a consequence of chemical reactions occurring at the surface or inside the particles. The research will provide unprecedented insight into the molecular level properties of FNPs. This project will directly supply input parameters (chemical composition, thermodynamics and kinetics) for atmospheric models, which are crucial in order to constrain the large uncertainty in climate predictions caused by small aerosol particles.",2022-04-01,2027-03-31,2022,1462491.0,1462491.0,,EUR,AARHUS UNIVERSITET,Aarhus C,DK,ERC STARTING GRANTS,HORIZON-ERC,SIGNED,,,https://cordis.europa.eu/project/id/101040353,core_match,AI-enabled chemistry,AI-enabled chemistry,1
CORDIS,CORDIS_101040355,101040355,Probing (Orphan) Nuclear Receptors in Neurodegeneration,"Neurodegenerative diseases such as Alzheimers, Parkinsons or Multiple Sclerosis are severe health burdens and major global challenges for societies and healthcare systems. Therapeutic interventions in these diseases are not satisfying, since there is no treatment strategy that can halt or reverse disease progression. Several failed attempts at finding a cure for neurodegeneration have significantly reduced the interest for further research - yet, more than ever, new approaches are needed. Critically missing are pharmacologically validated targets for efficient neurodegenerative disease treatment and it is exactly here that NeuRoPROBE aims to close this gap. The orphan nuclear receptors (NR) tailless homologue (TLX) and nuclear receptor related-1 protein (Nurr1) have been identified in knockout studies as prime candidates. However, ligands for their pharmacological control as tools for therapeutic validation are lacking. NeuRoPROBE will enable pharmacological modulation of these transcription factors as a new and groundbreaking strategy to counteract neurodegeneration.To meet its overall aim, NeuRoPROBE will (1) develop chemical probes (CP) and PROTACs for TLX and Nurr1, (2) employ generative artificial intelligence (AI) for molecular design to accelerate CP and PROTAC development, (3) establish phenotypic cellular models in 3D settings to mimic neurodegeneration, and (4) use CPs and PROTACs in the phenotypic models for pharmacological control of TLX and Nurr1 to validate their modulation in neurodegeneration.This challenging and highly multidisciplinary endeavor will profit from my strong interdisciplinary background in the field of NR ligand discovery and pharmacology as well as in AI-based molecular design. NeuRoPROBE will open new avenues towards regenerative treatments in neurodegeneration, close the gaps in pharmacological control of TLX and Nurr1, and substantially contribute to consolidating AI techniques for structural optimization.",2022-05-01,2027-04-30,2022,1498813.0,1498813.0,,EUR,LUDWIG-MAXIMILIANS-UNIVERSITAET MUENCHEN,Planegg,DE,ERC STARTING GRANTS,HORIZON-ERC,SIGNED,,,https://cordis.europa.eu/project/id/101040355,core_match,Other AI-enabled chemistry/materials,,0
CORDIS,CORDIS_101040729,101040729,FIrst NEar-TErm ApplicationS of QUAntum Devices,"Quantum technologies have set remarkable milestones in the last years, e.g. with quantum advantage experiments and loophole-free Bell tests. Despite this progress, the quantum devices we currently have, the so-called noisy, intermediate-scale quantum (NISQ) devices, are too imperfect to run textbook quantum algorithms, yet they hold great potential. With their advent, much research has been devoted to finding them a first practical application. Focus on optimization, quantum chemistry and machine learning has been intense, and the developments are closely monitored by governments and industry alike. Variational algorithms in a classical-quantum feedback loop and adiabatic algorithms have been the dominant paradigm. However, important bottle-necks remain that severely maim the performance of NISQ devices and the field yearns for a novel approach.FINE-TEA-SQUAD, FIrst NEar-TErm ApplicationS of QUAntum Devices, proposes a radically new vision: to develop a unifying framework that will yield the first practical applications of NISQ devices. The main objectives are (A) to design experimentally-friendly protocols for quantum state preparation circumventing major existing bottlenecks (high number of repetitions, noise-induced barren plateaus...) and characterize broad families of states that can be prepared in a scalable way, (B) to develop a practical certification toolset amenable to near-term devices, with especial focus on the generation of certified randomness from a single NISQ device. The key idea is to use the hardness of many-body physics in a classical verifier-quantum prover interactive protocol. This approach will overcome the existing limitations of current approaches: it will be both easy to prepare and easy to verify (C) to overcome current hardware scalability limitations by combining several NISQ nodes into a small quantum network, and develop the appropriate theoretical framework to efficiently tailor and run quantum algorithms on them.",2022-05-01,2027-04-30,2022,1485042.5,1485042.5,,EUR,UNIVERSITEIT LEIDEN,Leiden,NL,ERC STARTING GRANTS,HORIZON-ERC,SIGNED,,,https://cordis.europa.eu/project/id/101040729,core_match,AI-enabled chemistry,AI-enabled chemistry,1
CORDIS,CORDIS_101041177,101041177,"Deciphering cellular and viral determinants of lytic HSV-1 infection, latency and reactivation","Herpes simplex virus 1 (HSV-1) is an important human pathogen which infects the majority of the world`s population and inflicts a substantial burden of disease. Over the past 10 years, systems biology approaches, to which my lab has provided seminal contributions, have substantially broadened our understanding of the complex interaction of this common pathogen with its human host. However, the underlying molecular mechanisms remain poorly understood and their importance for virus latency and reactivation remain elusive. Furthermore, currently available technology lacks the temporospatial resolution to decipher the cellular and viral determinants that govern the virus life cycle. The main goal of DecipherHSV is to close these knowledge and technology gaps and decipher novel mechanisms and their functional interplay by which HSV-1 manipulates its host cells throughout the virus life cycle. Accordingly, the three primary objectives of DecipherHSV are to: (i) decipher the full complement of viral elements that govern productive infection; (ii) decipher how and why HSV-1 manipulates pervasive transcription within the host and viral genome; and (iii) decipher the cellular and viral determinants of HSV-1 latency and reactivation. Alongside, I will develop new computational approaches and integrative analysis tools, and employ artificial intelligence to exploit the wealth of information that is provided by the novel single cell RNA sequencing approaches, which I will pioneer (Heterogeneity-seq and Perturb-scSLAM-seq). Thereby, I will deliver new leads for novel therapeutic approaches targeting HSV-1 latency and reactivation. This will provide a paradigm for the study of other herpesviruses and their complex host-pathogen interactions.",2022-05-01,2028-04-30,2022,1998008.75,1998008.75,,EUR,MEDIZINISCHE HOCHSCHULE HANNOVER,Hannover,DE,ERC CONSOLIDATOR GRANTS,HORIZON-ERC,SIGNED,,,https://cordis.europa.eu/project/id/101041177,broad_match,Other AI-enabled chemistry/materials,,0
CORDIS,CORDIS_101041570,101041570,Designing Allosteric Protein Switches by In Vivo Directed Evolution and Computational Inference,"Proteins are molecular machines that drive all major functions in cells. Controlling the activity of proteins in real time via light or chemicals is a central goal in synthetic biology. The design of switchable proteins, in particular single-chain, allosteric variants, however, is a challenging engineering problem thus-far mostly addressed by trial-and-error. DaVinci-Switches takes a radically new, data-driven perspective to fundamentally advance our understanding of protein allostery and accelerate and eventually rationalize the engineering of switchable proteins by interfacing synthetic biology with machine learning. We will establish a 'design by directed evolution' approach to create switchable proteins through receptor and effector fusion followed by phage-assisted in vivo directed evolution using synthetic gene circuits for selection. We will apply this novel pipeline to a diverse set of effector proteins and monitor the evolutionary process by next-generation sequencing (Objective 1). In parallel, we will perform an in-depth computational analysis of domain insertions within the natural protein repertoire. The combined, rich datasets will be used to train machine learning models to infer sequence patterns predictive of domain insertion tolerance and allosteric coupling between receptor-effector pairs (Objective 2). Finally, we will employ this unique model to design light- and drug-inducible variants of the Yamanaka cell reprogramming factors. These will provide the foundation of an Adeno-associated virus-based platform for cyclic, partial in vivo reprogramming of somatic cells with enormous potential for regenerative medicine, which will be evaluated in a murine model of drug-induced liver injury (Objective 3). DaVinci-Switches harnesses our key competences in protein engineering, synthetic biology and computation to reveal fundamental principles of allostery and enable transformative advances in the design of switchable proteins for research and medicine.",2022-09-01,2027-08-31,2022,1619687.0,1619687.0,,EUR,RUPRECHT-KARLS-UNIVERSITAET HEIDELBERG,Heidelberg,DE,ERC STARTING GRANTS,HORIZON-ERC,SIGNED,,,https://cordis.europa.eu/project/id/101041570,core_match,Other AI-enabled chemistry/materials,,0
CORDIS,CORDIS_101041729,101041729,Unravelling the behaviour of inorganic (nano)phases in leaves to optimize the foliar delivery of sustainable agrochemicals,"Population growth and the expected-to-increase (a)biotic stresses due to climate change are putting the agro-ecosystems under pressure. The dependence on inorganic agrochemicals (IAs) for fertilization and plant protection will lead to an increase in their use. Yet, current IAs do not efficiently reach their target. They lead to waste of resources, pollutions, and environmental degradations. Foliar application of nanostructures is one of the proposed solutions to optimize IAs in order to better protect crops, but also their agro-ecosystem. Nano-IAs can exhibit reduced leaf leaching and increased bioavailability, allowing to strictly apply the right dose of IA. However, the lack of knowledge on IA behaviour at the leaf interface hinders our ability to predict optimized nanostructures. The LEAPHY project aims to establish a rationale for the design of such nano-IAs. Model nano-IAs with controlled morphologies and surface properties will be designed and exposed to isolated plant cells or model leaves characterized for their surface characteristics and interfacial functional groups. The pathways and associated rates of uptake, transformations, and in planta behaviour will be quantified. These results will be used to establish a predictive modelling framework for the biological and chemical interactions that govern IA adhesion, uptake, and translocation from leaves to other plant tissues and organs. This knowledge will be leveraged to design and test bio- and geo-inspired copper-based fertilizers and pesticides with improved delivery efficacy. The team's expertise in tuning (in)organic reactivity at plant interfaces and studying the resulting interactions and speciation changes is the backbone of LEAPHY's state-of-the-art experimental strategy. This project will be a cornerstone in implementing solutions to contribute to building a rationale for safe foliar phytoprotection and fertilization strategies.",2022-09-01,2027-08-31,2022,1684046.0,1684046.0,,EUR,CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS,PARIS,FR,ERC STARTING GRANTS,HORIZON-ERC,SIGNED,,,https://cordis.europa.eu/project/id/101041729,broad_match,Other AI-enabled chemistry/materials,,0
CORDIS,CORDIS_101041936,101041936,Intelligent Optoacoustic Radiomics via Synergistic Integration of System Models and Medical Knowledge,"Radiomics - the extraction of clinically relevant information from complex medical imaging data via mathematics and data science - is on the verge of becoming a main player in clinical research and medicine. However, the current radiomics workflow mostly relies on feature engineering and black box machine learning, lagging behind the state-of-the-art in explainable artificial intelligence. I will exploit my broad expertise in mathematics, informatics, and biomedical imaging to implement intelligent radiomics by integrating the whole imaging value chain - ranging from imaging hardware, over image formation, to medical interpretation of the data - into an intelligent software environment. EchoLux is a paradigm shift from black box machine learning to truly intelligent radiomics.EchoLux will be realized in three steps: 1) Modelling the imaging system via a digital twin approach using dedicated physical phantom data and a reference dataset acquired from healthy volunteers; 2) Development and integration of a medical knowledge base that captures the effects of disease on the imaged tissue; 3) Integration of system and medical tissue models into a Bayesian reasoning framework that is able to perform explainable diagnostics and medical knowledge discovery.The clinical use case is optoacoustic imaging of peripheral neuropathy. I recently demonstrated that the internal structure and vascular supply of peripheral nerves can be visualized in unprecedented detail by exploiting the molecular contrast of optoacoustic imaging. The EchoLux approach, thus, has the potential to enable early detection of pathological changes in peripheral nerves, e.g., in conjunction with diabetes.EchoLux links the clinical imaging data simultaneously back to the hardware and forward to the medical decision making. This holistic and interdisciplinary approach will leverage radiomics in general and boost the clinical value of optoacoustic imaging.",2022-07-01,2027-06-30,2022,1499976.0,1499976.0,,EUR,HELMHOLTZ ZENTRUM MUENCHEN DEUTSCHES FORSCHUNGSZENTRUM FUER GESUNDHEIT UND UMWELT GMBH,Neuherberg,DE,ERC STARTING GRANTS,HORIZON-ERC,SIGNED,,,https://cordis.europa.eu/project/id/101041936,broad_match,Other AI-enabled chemistry/materials,,0
CORDIS,CORDIS_101042290,101042290,Shape and Topology as Descriptors of Chemical and Physical Properties in Functional Organic Materials,"Functional, topologically complex organic molecules are rising stars in modern materials science due to their biocompatibility, structural variability, and wealth of physico-chemical properties. Their practical applications often involve interactions with small molecular targets (e.g., gases, environmental pollutants, and drugs) via relatively weak non-covalent forces. Key to these interactions are the topological features of host materials: arrangement of functional groups, pore size, and cavity volume. Atom types and the forces connecting them in space determine molecular and material structures, defining their fundamental physical and chemical properties. These patterns comprise a universal chemical language. Numerous molecular representations exist, from strings in chemoinformatics to matrices in chemical machine learning. While these big data-oriented fingerprints generally reduce the dimensionality of atomic composition and connectivity, they do not capture the intricacies of shape and topology.In PATTERNCHEM, several families of functional organic materials – graphenes, covalent-organic frameworks, and hyperbranched polymers – will provide a unique foundation for developing application-oriented fingerprints of their topological and non-covalent interaction features. After elucidating diverse structural descriptors of atomistic arrangement, substitution patterns, and two- and three-dimensional shapes of these materials, we will establish a scheme for quantifying the propensity for non-covalent interactions and assessing host-guest complementarity. Using this scheme, chemical and physical performance indicators relevant to targeted applications (e.g., as sensors, filters, and nanocarriers) can be computed. Finally, structure-property relationships between computed performance indicators and developed descriptors will be established and implemented into predictive frameworks for functional organic materials.",2022-06-01,2027-05-31,2022,1492821.0,1492821.0,,EUR,HITS GGMBH,HEIDELBERG,DE,ERC STARTING GRANTS,HORIZON-ERC,TERMINATED,,,https://cordis.europa.eu/project/id/101042290,core_match,Cheminformatics,Cheminformatics | AI-enabled materials,2
CORDIS,CORDIS_101042514,101042514,Decoding the Mechanisms Underlying Metal-Organic Frameworks Self-Assembly,"Metal-Organic Frameworks (MOFs) are porous materials with many societally relevant potential applications, such as carbon capture, removal of environmental toxins and drug-delivery. Despite the progress in the field, synthesizing a MOF currently requires tens to hundreds costly and time-consuming trial-and-error synthesis experiments because our ability to correlate the synthesis conditions with the desired MOF structure is very limited. To overcome this, we need to decode the mechanisms underlying MOF self-assembly, a highly complex non-equilibrium process covering a wide range of time- and length-scales, from the formation of the building units to nucleation and growth.In MAGNIFY, my team and I will develop a multi-scale computational methodology that will decode the mechanisms underlying MOF self-assembly and predict synthesis conditions-structure relationships. This ambitious interdisciplinary project combines state-of-the-art multi-scale modelling techniques (enhanced sampling techniques, ab initio, atomistic and coarse-graining modelling), with machine-learning approaches to data analysis (dimensionality reduction and data clustering techniques) trained on new chemical descriptors. We will develop and validate our models in tandem with synthesis experiments. We will test our methodology by applying it to two central problems in MOF rational design: (i) determining how synthesis conditions (temperature, solvent, reactants, metal-to-ligand ratio, additives) drive the resulting MOF material's topology and point defects, as well as to (ii) tackling the very challenging task of predicting the synthesis conditions for producing brand new MOFs. This high-risk high-gain project will produce a breakthrough in the MOF field by enabling fast and resource-efficient MOF rational design and will open new research avenues in investigating the self-assembly of other materials and other complex processes happening through a large span of time- and length-scales.",2022-12-01,2027-11-30,2022,1340375.0,1340375.0,,EUR,SORBONNE UNIVERSITE,PARIS,FR,ERC STARTING GRANTS,HORIZON-ERC,SIGNED,,,https://cordis.europa.eu/project/id/101042514,core_match,Other AI-enabled chemistry/materials,,0
