topic,year,publication_count,publication_change,publication_growth_yoy_pct,publication_index_2021,cordis_grant_count,cordis_core_match_count,cordis_broad_match_count,cordis_total_amount_eur,cordis_median_amount_eur,cordis_mean_amount_eur,nsf_grant_count,nsf_core_match_count,nsf_broad_match_count,nsf_total_amount_usd,nsf_median_amount_usd,nsf_mean_amount_usd
AI-enabled catalysis,2021,6094,,,100.0,0,0,0,0.0,,,40,38,2,81498247.0,498174.0,2037456.175
AI-enabled catalysis,2022,8449,2355.0,38.64,138.64,15,15,0,39683004.53,2000000.0,2645533.6353333336,53,50,3,40489403.0,464139.0,763951.0
AI-enabled catalysis,2023,18137,9688.0,114.66,297.62,16,16,0,56207132.83,2247750.0,3512945.801875,66,55,11,256721717.0,526517.0,3889722.984848485
AI-enabled catalysis,2024,25744,7607.0,41.94,422.45,20,20,0,83443512.76,2499762.5,4172175.6380000003,53,53,0,139491363.0,575000.0,2631912.5094339624
AI-enabled catalysis,2025,39893,14149.0,54.96,654.63,21,19,2,52583287.39,1998106.0,2503966.066190476,68,64,4,81151350.0,500322.5,1193402.205882353
AI-enabled chemistry,2021,40651,,,100.0,0,0,0,0.0,,,201,179,22,334716409.0,480000.0,1665255.7661691543
AI-enabled chemistry,2022,54337,13686.0,33.67,133.67,38,36,2,120218134.78,2438370.94,3163635.1257894738,243,226,17,208721218.0,450000.0,858935.0534979424
AI-enabled chemistry,2023,96605,42268.0,77.79,237.64,60,51,9,143344008.12,2031385.6,2389066.802,272,239,33,656974490.0,490893.0,2415347.3897058824
AI-enabled chemistry,2024,112587,15982.0,16.54,276.96,62,59,3,204219836.49,2627393.6,3293868.330483871,257,225,32,308397316.0,456613.0,1199989.5564202336
AI-enabled chemistry,2025,142246,29659.0,26.34,349.92,68,63,5,197999448.32999998,1491302.0,2911756.5930882352,326,282,44,319792131.0,461060.0,980957.4570552147
AI-enabled materials,2021,107790,,,100.0,0,0,0,0.0,,,173,147,26,290124857.0,516654.0,1677022.2947976878
AI-enabled materials,2022,146376,38586.0,35.8,135.8,18,15,3,74054209.96000001,4495468.0,4114122.775555556,176,157,19,136799786.0,446522.5,777271.5113636364
AI-enabled materials,2023,250712,104336.0,71.28,232.59,36,27,9,141536978.57,3450437.625,3931582.738055555,246,207,39,352200636.0,499419.5,1431709.9024390243
AI-enabled materials,2024,295260,44548.0,17.77,273.92,46,41,5,154022724.85,2526980.0,3348320.1054347823,200,180,20,261105429.0,423057.0,1305527.145
AI-enabled materials,2025,386893,91633.0,31.03,358.93,36,31,5,111739206.39,2202093.5,3103866.8441666667,240,209,31,287194404.0,500000.0,1196643.35
Autonomous laboratories,2021,75,,,100.0,0,0,0,0.0,,,1,0,1,999810.0,999810.0,999810.0
