topic,publication_year,publication_count,search_query,source,topic_clean,topic_slug,topic_year_key,publication_change,publication_growth_yoy_pct,publication_index_2021,extraction_date
AI-enabled catalysis,2021,6094,"(""machine learning"" OR ""artificial intelligence"") AND (catalysis OR catalyst)",OpenAlex,AI-enabled catalysis,ai_enabled_catalysis,OPENALEX_AI_ENABLED_CATALYSIS_2021,,,100.0,2026-08-01
AI-enabled catalysis,2022,8449,"(""machine learning"" OR ""artificial intelligence"") AND (catalysis OR catalyst)",OpenAlex,AI-enabled catalysis,ai_enabled_catalysis,OPENALEX_AI_ENABLED_CATALYSIS_2022,2355,38.64,138.64,2026-08-01
AI-enabled catalysis,2023,18137,"(""machine learning"" OR ""artificial intelligence"") AND (catalysis OR catalyst)",OpenAlex,AI-enabled catalysis,ai_enabled_catalysis,OPENALEX_AI_ENABLED_CATALYSIS_2023,9688,114.66,297.62,2026-08-01
AI-enabled catalysis,2024,25744,"(""machine learning"" OR ""artificial intelligence"") AND (catalysis OR catalyst)",OpenAlex,AI-enabled catalysis,ai_enabled_catalysis,OPENALEX_AI_ENABLED_CATALYSIS_2024,7607,41.94,422.45,2026-08-01
AI-enabled catalysis,2025,39893,"(""machine learning"" OR ""artificial intelligence"") AND (catalysis OR catalyst)",OpenAlex,AI-enabled catalysis,ai_enabled_catalysis,OPENALEX_AI_ENABLED_CATALYSIS_2025,14149,54.96,654.63,2026-08-01
AI-enabled chemistry,2021,40651,"(""machine learning"" OR ""artificial intelligence"" OR ""deep learning"") AND (chemistry OR chemical)",OpenAlex,AI-enabled chemistry,ai_enabled_chemistry,OPENALEX_AI_ENABLED_CHEMISTRY_2021,,,100.0,2026-08-01
AI-enabled chemistry,2022,54337,"(""machine learning"" OR ""artificial intelligence"" OR ""deep learning"") AND (chemistry OR chemical)",OpenAlex,AI-enabled chemistry,ai_enabled_chemistry,OPENALEX_AI_ENABLED_CHEMISTRY_2022,13686,33.67,133.67,2026-08-01
AI-enabled chemistry,2023,96605,"(""machine learning"" OR ""artificial intelligence"" OR ""deep learning"") AND (chemistry OR chemical)",OpenAlex,AI-enabled chemistry,ai_enabled_chemistry,OPENALEX_AI_ENABLED_CHEMISTRY_2023,42268,77.79,237.64,2026-08-01
AI-enabled chemistry,2024,112587,"(""machine learning"" OR ""artificial intelligence"" OR ""deep learning"") AND (chemistry OR chemical)",OpenAlex,AI-enabled chemistry,ai_enabled_chemistry,OPENALEX_AI_ENABLED_CHEMISTRY_2024,15982,16.54,276.96,2026-08-01
AI-enabled chemistry,2025,142246,"(""machine learning"" OR ""artificial intelligence"" OR ""deep learning"") AND (chemistry OR chemical)",OpenAlex,AI-enabled chemistry,ai_enabled_chemistry,OPENALEX_AI_ENABLED_CHEMISTRY_2025,29659,26.34,349.92,2026-08-01
AI-enabled materials,2021,107790,"(""machine learning"" OR ""artificial intelligence"" OR ""deep learning"") AND (""materials science"" OR materials)",OpenAlex,AI-enabled materials,ai_enabled_materials,OPENALEX_AI_ENABLED_MATERIALS_2021,,,100.0,2026-08-01
AI-enabled materials,2022,146376,"(""machine learning"" OR ""artificial intelligence"" OR ""deep learning"") AND (""materials science"" OR materials)",OpenAlex,AI-enabled materials,ai_enabled_materials,OPENALEX_AI_ENABLED_MATERIALS_2022,38586,35.8,135.8,2026-08-01
AI-enabled materials,2023,250712,"(""machine learning"" OR ""artificial intelligence"" OR ""deep learning"") AND (""materials science"" OR materials)",OpenAlex,AI-enabled materials,ai_enabled_materials,OPENALEX_AI_ENABLED_MATERIALS_2023,104336,71.28,232.59,2026-08-01
AI-enabled materials,2024,295260,"(""machine learning"" OR ""artificial intelligence"" OR ""deep learning"") AND (""materials science"" OR materials)",OpenAlex,AI-enabled materials,ai_enabled_materials,OPENALEX_AI_ENABLED_MATERIALS_2024,44548,17.77,273.92,2026-08-01
AI-enabled materials,2025,386893,"(""machine learning"" OR ""artificial intelligence"" OR ""deep learning"") AND (""materials science"" OR materials)",OpenAlex,AI-enabled materials,ai_enabled_materials,OPENALEX_AI_ENABLED_MATERIALS_2025,91633,31.03,358.93,2026-08-01
Autonomous laboratories,2021,75,"""autonomous laboratory"" OR ""self-driving laboratory""",OpenAlex,Autonomous laboratories,autonomous_laboratories,OPENALEX_AUTONOMOUS_LABORATORIES_2021,,,100.0,2026-08-01
Autonomous laboratories,2022,119,"""autonomous laboratory"" OR ""self-driving laboratory""",OpenAlex,Autonomous laboratories,autonomous_laboratories,OPENALEX_AUTONOMOUS_LABORATORIES_2022,44,58.67,158.67,2026-08-01
Autonomous laboratories,2023,273,"""autonomous laboratory"" OR ""self-driving laboratory""",OpenAlex,Autonomous laboratories,autonomous_laboratories,OPENALEX_AUTONOMOUS_LABORATORIES_2023,154,129.41,364.0,2026-08-01
Autonomous laboratories,2024,440,"""autonomous laboratory"" OR ""self-driving laboratory""",OpenAlex,Autonomous laboratories,autonomous_laboratories,OPENALEX_AUTONOMOUS_LABORATORIES_2024,167,61.17,586.67,2026-08-01
Autonomous laboratories,2025,859,"""autonomous laboratory"" OR ""self-driving laboratory""",OpenAlex,Autonomous laboratories,autonomous_laboratories,OPENALEX_AUTONOMOUS_LABORATORIES_2025,419,95.23,1145.33,2026-08-01
Cheminformatics,2021,2511,cheminformatics,OpenAlex,Cheminformatics,cheminformatics,OPENALEX_CHEMINFORMATICS_2021,,,100.0,2026-08-01
Cheminformatics,2022,2997,cheminformatics,OpenAlex,Cheminformatics,cheminformatics,OPENALEX_CHEMINFORMATICS_2022,486,19.35,119.35,2026-08-01
