"euroSciVocCode";"euroSciVocPath";"euroSciVocTitle";"euroSciVocDescription";"projectID"
"/23/53/373";"natural sciences/chemical sciences/electrochemistry";"electrochemistry";"";"101069359"
"/25/67/425/1169/1685/85521413";"engineering and technology/environmental engineering/energy and fuels/renewable energy/solar energy/solar thermal";"solar thermal";"";"101069359"
"/23/53/363/1099";"natural sciences/chemical sciences/organic chemistry/aliphatic compounds";"aliphatic compounds";"";"101069359"
"/29/91/521/1303";"social sciences/economics and business/economics/sustainable economy";"sustainable economy";"";"101069359"
"/25/67/425/1169/1685";"engineering and technology/environmental engineering/energy and fuels/renewable energy/solar energy";"solar energy";"";"101069357"
"/23/53/363/1107";"natural sciences/chemical sciences/organic chemistry/organic acids";"organic acids";"";"101069357"
"/23/49/341/1035";"natural sciences/biological sciences/microbiology/bacteriology";"bacteriology";"";"101069357"
"/23/53/363/1099";"natural sciences/chemical sciences/organic chemistry/aliphatic compounds";"aliphatic compounds";"";"101069357"
"/29/101/559";"social sciences/sociology/governance";"governance";"";"101069586"
"/29/101/1367/1771";"social sciences/sociology/social issues/social inequalities";"social inequalities";"";"101069586"
"/29/101/1363/1769";"social sciences/sociology/gender studies/gender equality";"gender equality";"";"101069586"
"/29/91/521/1303";"social sciences/economics and business/economics/sustainable economy";"sustainable economy";"";"101069586"
"/29/91/521/1303";"social sciences/economics and business/economics/sustainable economy";"sustainable economy";"";"101069529"
"/23/53/373/1129";"natural sciences/chemical sciences/electrochemistry/electric batteries";"electric batteries";"";"101069508"
"/25/75/461/1235";"engineering and technology/mechanical engineering/vehicle engineering/automotive engineering";"automotive engineering";"";"101069508"
"/25/75/461/1239/1741";"engineering and technology/mechanical engineering/vehicle engineering/aerospace engineering/aeronautical engineering";"aeronautical engineering";"";"101069508"
"/25/67/429/97581411/1181";"engineering and technology/environmental engineering/waste management/waste treatment processes/recycling";"recycling";"";"101069644"
"/23/53/373/1129";"natural sciences/chemical sciences/electrochemistry/electric batteries";"electric batteries";"";"101069644"
"/23/53/365/78089026";"natural sciences/chemical sciences/inorganic chemistry/alkali metals";"alkali metals";"";"101069644"
"/23/53/373/1129";"natural sciences/chemical sciences/electrochemistry/electric batteries";"electric batteries";"";"101069612"
"/29/99/547/1343";"social sciences/social geography/transport/electric vehicles";"electric vehicles";"";"101069612"
"/23/53/363/1093";"natural sciences/chemical sciences/organic chemistry/volatile organic compounds";"volatile organic compounds";"";"101069612"
"/25/63/391";"engineering and technology/materials engineering/coating and films";"coating and films";"";"101069612"
"/25/67/429/97581411/1181";"engineering and technology/environmental engineering/waste management/waste treatment processes/recycling";"recycling";"";"101069685"
"/23/53/373/1129";"natural sciences/chemical sciences/electrochemistry/electric batteries";"electric batteries";"";"101069685"
"/25/67/425/1169";"engineering and technology/environmental engineering/energy and fuels/renewable energy";"renewable energy";"";"101069702"
"/25/73/451/1209/1705";"engineering and technology/electrical engineering, electronic engineering, information engineering/electrical engineering/power engineering/electric power transmission";"electric power transmission";"";"101069702"
"/23/53/69669548";"natural sciences/chemical sciences/catalysis";"catalysis";"";"101069690"
"/23/43/269/811/1549/33860407";"natural sciences/physical sciences/classical mechanics/fluid mechanics/fluid dynamics/computational fluid dynamics";"computational fluid dynamics";"";"101069690"
"/25/69/435";"engineering and technology/nanotechnology/nano-materials";"nano-materials";"";"101069690"
"/25/75/469/1247";"engineering and technology/mechanical engineering/manufacturing engineering/additive manufacturing";"additive manufacturing";"";"101069690"
"/23/47/297/933";"natural sciences/computer and information sciences/artificial intelligence/machine learning";"machine learning";"";"101069690"
"/23/53/373/1129";"natural sciences/chemical sciences/electrochemistry/electric batteries";"electric batteries";"";"101069686"
"/29/99/547/1343";"social sciences/social geography/transport/electric vehicles";"electric vehicles";"";"101069686"
"/23/43/251/745/57690345";"natural sciences/physical sciences/optics/laser physics/pulsed lasers";"pulsed lasers";"";"101069686"
"/23/53/373/1129";"natural sciences/chemical sciences/electrochemistry/electric batteries";"electric batteries";"";"101069712"
"/25/75/461/1235";"engineering and technology/mechanical engineering/vehicle engineering/automotive engineering";"automotive engineering";"";"101069712"
"/23/53/373/1129";"natural sciences/chemical sciences/electrochemistry/electric batteries";"electric batteries";"";"101069707"
"/29/91/521/1303";"social sciences/economics and business/economics/sustainable economy";"sustainable economy";"";"101069707"
"/23/53/373/1129";"natural sciences/chemical sciences/electrochemistry/electric batteries";"electric batteries";"";"101069743"
"/25/75/461/1235";"engineering and technology/mechanical engineering/vehicle engineering/automotive engineering";"automotive engineering";"";"101069743"
"/29/97/87917856/1335";"social sciences/political sciences/political policies/civil society";"civil society";"";"101069880"
"/29/91/521/1303";"social sciences/economics and business/economics/sustainable economy";"sustainable economy";"";"101069880"
"/25/67/425/1163";"engineering and technology/environmental engineering/energy and fuels/liquid fuels";"liquid fuels";"";"101069888"
"/23/45/277";"natural sciences/earth and related environmental sciences/environmental sciences";"environmental sciences";"";"101069888"
"/25/73/451/1209";"engineering and technology/electrical engineering, electronic engineering, information engineering/electrical engineering/power engineering";"power engineering";"";"101069888"
"/29/99/547";"social sciences/social geography/transport";"transport";"";"101069888"
"/25/67/429/97581411/1181";"engineering and technology/environmental engineering/waste management/waste treatment processes/recycling";"recycling";"";"101069865"
"/23/53/373/1129";"natural sciences/chemical sciences/electrochemistry/electric batteries";"electric batteries";"";"101069865"
"/29/91/521/1303";"social sciences/economics and business/economics/sustainable economy";"sustainable economy";"";"101069865"
"/25/67/429/97581411/1181";"engineering and technology/environmental engineering/waste management/waste treatment processes/recycling";"recycling";"";"101069890"
"/23/53/373/1129";"natural sciences/chemical sciences/electrochemistry/electric batteries";"electric batteries";"";"101069890"
"/25/67/425/1169/1691";"engineering and technology/environmental engineering/energy and fuels/renewable energy/hydrogen energy";"hydrogen energy";"";"101069931"
"/27/81/30021/1279";"agricultural sciences/agriculture, forestry, and fisheries/agriculture/sustainable agriculture";"sustainable agriculture";"";"101069905"
"/29/91/521/1303";"social sciences/economics and business/economics/sustainable economy";"sustainable economy";"";"101069905"
"/23/53/373/1129";"natural sciences/chemical sciences/electrochemistry/electric batteries";"electric batteries";"";"101069738"
"/29/91/521/1303";"social sciences/economics and business/economics/sustainable economy";"sustainable economy";"";"101069738"
"/25/67/429/97581411/1181";"engineering and technology/environmental engineering/waste management/waste treatment processes/recycling";"recycling";"";"101069789"
"/23/53/365/78089026";"natural sciences/chemical sciences/inorganic chemistry/alkali metals";"alkali metals";"";"101069789"
"/29/91/523/1307";"social sciences/economics and business/business and management/business models";"business models";"";"101069789"
"/23/53/373/1129";"natural sciences/chemical sciences/electrochemistry/electric batteries";"electric batteries";"";"101069765"
"/29/91/521/1303";"social sciences/economics and business/economics/sustainable economy";"sustainable economy";"";"101069765"
"/25/63/19232965/84184824";"engineering and technology/materials engineering/amorphous solids/amorphous semiconductors";"amorphous semiconductors";"";"101069770"
"/23/53/373/1129";"natural sciences/chemical sciences/electrochemistry/electric batteries";"electric batteries";"";"101069756"
"/29/99/547/1343";"social sciences/social geography/transport/electric vehicles";"electric vehicles";"";"101069756"
"/23/53/369";"natural sciences/chemical sciences/polymer sciences";"polymer sciences";"";"101069756"
"/25/75/469/1247";"engineering and technology/mechanical engineering/manufacturing engineering/additive manufacturing";"additive manufacturing";"";"101069756"
"/25/67/429/97581411/1181";"engineering and technology/environmental engineering/waste management/waste treatment processes/recycling";"recycling";"";"101069726"
"/23/53/373/1129";"natural sciences/chemical sciences/electrochemistry/electric batteries";"electric batteries";"";"101069726"
"/29/99/547/1343";"social sciences/social geography/transport/electric vehicles";"electric vehicles";"";"101069726"
"/23/53/365/78089026";"natural sciences/chemical sciences/inorganic chemistry/alkali metals";"alkali metals";"";"101069726"
"/23/53/373/1129";"natural sciences/chemical sciences/electrochemistry/electric batteries";"electric batteries";"";"101069681"
"/29/99/547/1343";"social sciences/social geography/transport/electric vehicles";"electric vehicles";"";"101069681"
"/25/75/461/1239/1737";"engineering and technology/mechanical engineering/vehicle engineering/aerospace engineering/aircraft";"aircraft";"";"101069681"
"/25/77/94443578/1269";"engineering and technology/civil engineering/urban engineering/smart cities";"smart cities";"";"101069506"
"/29/91/521/1303";"social sciences/economics and business/economics/sustainable economy";"sustainable economy";"";"101069506"
"/23/53/373/1129";"natural sciences/chemical sciences/electrochemistry/electric batteries";"electric batteries";"";"101069705"
"/29/91/521/1303";"social sciences/economics and business/economics/sustainable economy";"sustainable economy";"";"101069705"
"/29/105/573";"social sciences/educational sciences/didactics";"didactics";"";"101039090"
