"topic";"title";"projectID"
"HORIZON-CL5-2021-D2-01-11";"Direct atmospheric carbon capture and conversion";"101069359"
"HORIZON-CL5-2021-D2-01-08";"Emerging technologies for a climate neutral Europe";"101069357"
"HORIZON-CL5-2021-D2-01-12";"Fostering a just transition in Europe";"101069586"
"HORIZON-CL5-2021-D2-01-15";"Fostering cooperation between Horizon Europe cluster 5 National Contact Points (NCPs)";"101069604"
"HORIZON-CL5-2021-D2-01-13";"Strengthening Social Sciences and Humanities (SSH) research communities in climate, energy and mobility disciplines";"101069529"
"HORIZON-CL5-2021-D2-01-02";"Advanced high-performance Generation 3b (high capacity / high voltage) Li-ion batteries supporting electro mobility and other applications (Batteries Partnership)";"101069508"
"HORIZON-CL5-2021-D2-01-12";"Fostering a just transition in Europe";"101069653"
"HORIZON-CL5-2021-D2-01-01";"Sustainable processing, refining and recycling of raw materials (Batteries Partnership)";"101069644"
"HORIZON-CL5-2021-D2-01-04";"Environmentally sustainable processing techniques applied to large scale electrode and cell component manufacturing for Li ion batteries (Batteries Partnership)";"101069612"
"HORIZON-CL5-2021-D2-01-07";"Support for establishment of R&I ecosystem, developing strategic forward-looking orientations to ensure future skills development, knowledge and technological leadership for accelerated disruptive technology exploration and uptake (Batteries Partnership)";"101069676"
"HORIZON-CL5-2021-D2-01-06";"Sustainable, safe and efficient recycling processes (Batteries Partnership)";"101069685"
"HORIZON-CL5-2021-D2-01-08";"Emerging technologies for a climate neutral Europe";"101069702"
"HORIZON-CL5-2021-D2-01-09";"Methane cracking to usable hydrogen and carbon";"101069690"
"HORIZON-CL5-2021-D2-01-05";"Manufacturing technology development for solid-state batteries (SSB, Generations 4a - 4b batteries) (Batteries Partnership)";"101069686"
"HORIZON-CL5-2021-D2-01-05";"Manufacturing technology development for solid-state batteries (SSB, Generations 4a - 4b batteries) (Batteries Partnership)";"101069712"
"HORIZON-CL5-2021-D2-01-04";"Environmentally sustainable processing techniques applied to large scale electrode and cell component manufacturing for Li ion batteries (Batteries Partnership)";"101069707"
"HORIZON-CL5-2021-D2-01-03";"Advanced high-performance Generation 4a, 4b (solid-state) Li-ion batteries supporting electro mobility and other applications (Batteries Partnership)";"101069743"
"HORIZON-CL5-2021-D2-01-12";"Fostering a just transition in Europe";"101069880"
"HORIZON-CL5-2021-D2-01-08";"Emerging technologies for a climate neutral Europe";"101069888"
"HORIZON-CL5-2021-D2-01-06";"Sustainable, safe and efficient recycling processes (Batteries Partnership)";"101069865"
"HORIZON-CL5-2021-D2-01-06";"Sustainable, safe and efficient recycling processes (Batteries Partnership)";"101069890"
"HORIZON-CL5-2021-D2-01-09";"Methane cracking to usable hydrogen and carbon";"101069931"
"HORIZON-CL5-2021-D2-01-10";"Technologies for non- CO2 greenhouse gases removal";"101069905"
"HORIZON-CL5-2021-D2-01-02";"Advanced high-performance Generation 3b (high capacity / high voltage) Li-ion batteries supporting electro mobility and other applications (Batteries Partnership)";"101069738"
"HORIZON-CL5-2021-D2-01-01";"Sustainable processing, refining and recycling of raw materials (Batteries Partnership)";"101069789"
"HORIZON-CL5-2021-D2-01-02";"Advanced high-performance Generation 3b (high capacity / high voltage) Li-ion batteries supporting electro mobility and other applications (Batteries Partnership)";"101069765"
"HORIZON-CL5-2021-D2-01-08";"Emerging technologies for a climate neutral Europe";"101069770"
"HORIZON-CL5-2021-D2-01-03";"Advanced high-performance Generation 4a, 4b (solid-state) Li-ion batteries supporting electro mobility and other applications (Batteries Partnership)";"101069756"
"HORIZON-CL5-2021-D2-01-03";"Advanced high-performance Generation 4a, 4b (solid-state) Li-ion batteries supporting electro mobility and other applications (Batteries Partnership)";"101069726"
"HORIZON-CL5-2021-D2-01-03";"Advanced high-performance Generation 4a, 4b (solid-state) Li-ion batteries supporting electro mobility and other applications (Batteries Partnership)";"101069681"
"HORIZON-CL5-2021-D2-01-16";"Co-Funded Partnership: Driving Urban Transitions to a sustainable future (DUT)";"101069506"
"HORIZON-CL5-2021-D2-01-04";"Environmentally sustainable processing techniques applied to large scale electrode and cell component manufacturing for Li ion batteries (Batteries Partnership)";"101069705"
"ERC-2021-STG";"ERC STARTING GRANTS";"101039090"
"ERC-2021-COG";"ERC CONSOLIDATOR GRANTS";"101039103"
"ERC-2021-STG";"ERC STARTING GRANTS";"101039145"
"ERC-2021-STG";"ERC STARTING GRANTS";"101039066"
"ERC-2021-STG";"ERC STARTING GRANTS";"101039127"
"ERC-2021-STG";"ERC STARTING GRANTS";"101039196"
"ERC-2021-STG";"ERC STARTING GRANTS";"101039048"
"ERC-2021-STG";"ERC STARTING GRANTS";"101039198"
"ERC-2021-STG";"ERC STARTING GRANTS";"101039152"
"ERC-2021-STG";"ERC STARTING GRANTS";"101039110"
"ERC-2021-STG";"ERC STARTING GRANTS";"101039222"
"HORIZON-ERC-2021-VICECHAIRS-IBA";"Support to the Vice-Chairs";"101039221"
"ERC-2021-STG";"ERC STARTING GRANTS";"101039252"
"ERC-2021-STG";"ERC STARTING GRANTS";"101039226"
"ERC-2021-STG";"ERC STARTING GRANTS";"101039271"
"ERC-2021-STG";"ERC STARTING GRANTS";"101039208"
"ERC-2021-STG";"ERC STARTING GRANTS";"101039272"
"ERC-2021-STG";"ERC STARTING GRANTS";"101039265"
"ERC-2021-STG";"ERC STARTING GRANTS";"101039294"
"ERC-2021-STG";"ERC STARTING GRANTS";"101039206"
"ERC-2021-STG";"ERC STARTING GRANTS";"101039320"
"ERC-2021-STG";"ERC STARTING GRANTS";"101039339"
"ERC-2021-STG";"ERC STARTING GRANTS";"101039354"
"ERC-2021-STG";"ERC STARTING GRANTS";"101039361"
"ERC-2021-STG";"ERC STARTING GRANTS";"101039303"
"ERC-2021-STG";"ERC STARTING GRANTS";"101039376"
"ERC-2021-STG";"ERC STARTING GRANTS";"101039296"
"ERC-2021-STG";"ERC STARTING GRANTS";"101039349"
